timestamp,open,high,low,close,volume
2015-04-07,303.27,303.27,303.27,303.27,0
2015-04-08,304.19,304.19,304.19,304.19,0
2015-04-09,307.49,307.49,307.49,307.49,0
2015-04-10,309.75,309.75,309.75,309.75,0
2015-04-13,309.5,309.5,309.5,309.5,0
2015-04-14,307.3,307.3,307.3,307.3,0
2015-04-15,312.73,312.73,312.73,312.73,0
2015-04-16,310.94,310.94,310.94,310.94,0
2015-04-17,305.72,305.72,305.72,305.72,0
2015-04-20,308.23,308.23,308.23,308.23,0
2015-04-21,308.65,308.65,308.65,308.65,0
2015-04-22,309.77,309.77,309.77,309.77,0
2015-04-23,307.81,307.81,307.81,307.81,0
2015-04-24,308.97,308.97,308.97,308.97,0
2015-04-27,307.27,307.27,307.27,307.27,0
2015-04-28,304.95,304.95,304.95,304.95,0
2015-04-29,297.84,297.84,297.84,297.84,0
2015-05-01,294.14,294.14,294.14,294.14,0
2015-05-04,296.05,296.05,296.05,296.05,0
2015-05-05,291.95,291.95,291.95,291.95,0
2015-05-06,287.85,287.85,287.85,287.85,0
2015-05-07,291.2,291.2,291.2,291.2,0
2015-05-08,296.91,296.91,296.91,296.91,0
2015-05-11,298.04,298.04,298.04,298.04,0
2015-05-12,296.14,296.14,296.14,296.14,0
2015-05-14,296.93,296.93,296.93,296.93,0
2015-05-15,296.03,296.03,296.03,296.03,0
2015-05-18,297.77,297.77,297.77,297.77,0
2015-05-19,303.47,303.47,303.47,303.47,0
2015-05-20,303.52,303.52,303.52,303.52,0
2015-05-21,303.58,303.58,303.58,303.58,0
2015-05-22,304.96,304.96,304.96,304.96,0
2015-05-26,303.8,303.8,303.8,303.8,0
2015-05-27,306.41,306.41,306.41,306.41,0
2015-05-28,304.88,304.88,304.88,304.88,0
2015-05-29,301.73,301.73,301.73,301.73,0
2015-06-01,303.63,303.63,303.63,303.63,0
2015-06-02,298.21,298.21,298.21,298.21,0
2015-06-03,296.01,296.01,296.01,296.01,0
2015-06-04,292.98,292.98,292.98,292.98,0
2015-06-05,294.03,294.03,294.03,294.03,0
2015-06-08,290.19,290.19,290.19,290.19,0
2015-06-09,289.6,289.6,289.6,289.6,0
2015-06-10,291.92,291.92,291.92,291.92,0
2015-06-11,294.3,294.3,294.3,294.3,0
2015-06-12,291.59,291.59,291.59,291.59,0
2015-06-15,287.81,287.81,287.81,287.81,0
2015-06-16,288.94,288.94,288.94,288.94,0
2015-06-17,288.63,288.63,288.63,288.63,0
2015-06-18,287.84,287.84,287.84,287.84,0
2015-06-19,288.9,288.9,288.9,288.9,0
2015-06-23,296.81,296.81,296.81,296.81,0
2015-06-24,295.51,295.51,295.51,295.51,0
2015-06-25,293.58,293.58,293.58,293.58,0
2015-06-26,293.65,293.65,293.65,293.65,0
2015-06-29,289.64,289.64,289.64,289.64,0
2015-06-30,289.38,289.38,289.38,289.38,0
2015-07-01,292.32,292.32,292.32,292.32,0
2015-07-02,291.8,291.8,291.8,291.8,0
2015-07-06,286.71,286.71,286.71,286.71,0
2015-07-07,287.26,287.26,287.26,287.26,0
2015-07-08,283.77,283.77,283.77,283.77,0
2015-07-09,285.6,285.6,285.6,285.6,0
2015-07-10,286.49,286.49,286.49,286.49,0
2015-07-14,293.39,293.39,293.39,293.39,0
2015-07-15,294.35,294.35,294.35,294.35,0
2015-07-16,297.55,297.55,297.55,297.55,0
2015-07-17,297.28,297.28,297.28,297.28,0
2015-07-20,297.43,297.43,297.43,297.43,0
2015-07-21,292.81,292.81,292.81,292.81,0
2015-07-22,293.32,293.32,293.32,293.32,0
2015-07-23,291.47,291.47,291.47,291.47,0
2015-07-24,288.54,288.54,288.54,288.54,0
2015-07-27,283.29,283.29,283.29,283.29,0
2015-07-28,287.59,287.59,287.59,287.59,0
2015-07-29,289.61,289.61,289.61,289.61,0
2015-07-30,291.88,291.88,291.88,291.88,0
2015-07-31,290.69,290.69,290.69,290.69,0
2015-08-03,291.1,291.1,291.1,291.1,0
2015-08-04,291.93,291.93,291.93,291.93,0
2015-08-05,295.62,295.62,295.62,295.62,0
2015-08-06,292.97,292.97,292.97,292.97,0
2015-08-07,290.59,290.59,290.59,290.59,0
2015-08-10,292.0,292.0,292.0,292.0,0
2015-08-11,288.26,288.26,288.26,288.26,0
2015-08-12,283.31,283.31,283.31,283.31,0
2015-08-13,285.2,285.2,285.2,285.2,0
2015-08-14,286.68,286.68,286.68,286.68,0
2015-08-17,287.99,287.99,287.99,287.99,0
2015-08-18,288.79,288.79,288.79,288.79,0
2015-08-19,285.68,285.68,285.68,285.68,0
2015-08-20,277.61,277.61,277.61,277.61,0
2015-08-21,268.16,268.16,268.16,268.16,0
2015-08-24,253.5,253.5,253.5,253.5,0
2015-08-25,257.9,257.9,257.9,257.9,0
2015-08-26,261.53,261.53,261.53,261.53,0
2015-08-27,270.76,270.76,270.76,270.76,0
2015-08-28,271.02,271.02,271.02,271.02,0
2015-08-31,268.67,268.67,268.67,268.67,0
2015-09-01,261.13,261.13,261.13,261.13,0
2015-09-02,263.59,263.59,263.59,263.59,0
2015-09-03,268.29,268.29,268.29,268.29,0
2015-09-04,264.73,264.73,264.73,264.73,0
2015-09-08,270.21,270.21,270.21,270.21,0
2015-09-09,269.69,269.69,269.69,269.69,0
2015-09-10,267.81,267.81,267.81,267.81,0
2015-09-11,266.46,266.46,266.46,266.46,0
2015-09-14,265.64,265.64,265.64,265.64,0
2015-09-15,269.07,269.07,269.07,269.07,0
2015-09-16,271.76,271.76,271.76,271.76,0
2015-09-17,270.35,270.35,270.35,270.35,0
2015-09-18,266.26,266.26,266.26,266.26,0
2015-09-21,270.15,270.15,270.15,270.15,0
2015-09-22,267.19,267.19,267.19,267.19,0
2015-09-23,266.39,266.39,266.39,266.39,0
2015-09-24,263.09,263.09,263.09,263.09,0
2015-09-25,267.64,267.64,267.64,267.64,0
2015-09-28,262.64,262.64,262.64,262.64,0
2015-09-29,262.19,262.19,262.19,262.19,0
2015-09-30,267.79,267.79,267.79,267.79,0
2015-10-01,267.31,267.31,267.31,267.31,0
2015-10-02,268.63,268.63,268.63,268.63,0
2015-10-05,274.52,274.52,274.52,274.52,0
2015-10-06,273.44,273.44,273.44,273.44,0
2015-10-07,275.82,275.82,275.82,275.82,0
2015-10-08,278.95,278.95,278.95,278.95,0
2015-10-09,277.27,277.27,277.27,277.27,0
2015-10-12,276.5,276.5,276.5,276.5,0
2015-10-13,274.92,274.92,274.92,274.92,0
2015-10-14,273.91,273.91,273.91,273.91,0
2015-10-15,278.3,278.3,278.3,278.3,0
2015-10-16,278.34,278.34,278.34,278.34,0
2015-10-19,280.55,280.55,280.55,280.55,0
2015-10-20,280.95,280.95,280.95,280.95,0
2015-10-21,279.53,279.53,279.53,279.53,0
2015-10-22,286.93,286.93,286.93,286.93,0
2015-10-23,290.96,290.96,290.96,290.96,0
2015-10-26,289.46,289.46,289.46,289.46,0
2015-10-27,288.27,288.27,288.27,288.27,0
2015-10-28,290.08,290.08,290.08,290.08,0
2015-10-29,291.23,291.23,291.23,291.23,0
2015-10-30,290.37,290.37,290.37,290.37,0
2015-11-02,292.75,292.75,292.75,292.75,0
2015-11-03,294.38,294.38,294.38,294.38,0
2015-11-04,297.64,297.64,297.64,297.64,0
2015-11-05,298.57,298.57,298.57,298.57,0
2015-11-06,298.05,298.05,298.05,298.05,0
2015-11-09,295.61,295.61,295.61,295.61,0
2015-11-10,297.96,297.96,297.96,297.96,0
2015-11-11,297.74,297.74,297.74,297.74,0
2015-11-12,293.44,293.44,293.44,293.44,0
2015-11-13,292.49,292.49,292.49,292.49,0
2015-11-16,295.47,295.47,295.47,295.47,0
2015-11-17,298.65,298.65,298.65,298.65,0
2015-11-18,301.26,301.26,301.26,301.26,0
2015-11-19,301.53,301.53,301.53,301.53,0
2015-11-20,303.52,303.52,303.52,303.52,0
2015-11-23,303.9,303.9,303.9,303.9,0
2015-11-24,301.37,301.37,301.37,301.37,0
2015-11-25,303.26,303.26,303.26,303.26,0
2015-11-27,306.51,306.51,306.51,306.51,0
2015-11-30,306.66,306.66,306.66,306.66,0
2015-12-01,306.36,306.36,306.36,306.36,0
2015-12-02,304.74,304.74,304.74,304.74,0
2015-12-03,294.38,294.38,294.38,294.38,0
2015-12-04,296.34,296.34,296.34,296.34,0
2015-12-07,295.58,295.58,295.58,295.58,0
2015-12-08,292.49,292.49,292.49,292.49,0
2015-12-09,289.4,289.4,289.4,289.4,0
2015-12-10,289.37,289.37,289.37,289.37,0
2015-12-11,284.89,284.89,284.89,284.89,0
2015-12-14,283.5,283.5,283.5,283.5,0
2015-12-15,287.26,287.26,287.26,287.26,0
2015-12-16,290.63,290.63,290.63,290.63,0
2015-12-17,290.85,290.85,290.85,290.85,0
2015-12-18,287.39,287.39,287.39,287.39,0
2015-12-21,285.23,285.23,285.23,285.23,0
2015-12-22,285.51,285.51,285.51,285.51,0
2015-12-24,289.5,289.5,289.5,289.5,0
2015-12-28,289.55,289.55,289.55,289.55,0
2015-12-29,292.88,292.88,292.88,292.88,0
2015-12-30,292.09,292.09,292.09,292.09,0
2016-01-04,287.59,287.59,287.59,287.59,0
2016-01-05,289.5,289.5,289.5,289.5,0
2016-01-06,285.35,285.35,285.35,285.35,0
2016-01-07,279.04,279.04,279.04,279.04,0
2016-01-08,274.57,274.57,274.57,274.57,0
2016-01-11,274.55,274.55,274.55,274.55,0
2016-01-12,277.23,277.23,277.23,277.23,0
2016-01-13,273.74,273.74,273.74,273.74,0
2016-01-14,273.33,273.33,273.33,273.33,0
2016-01-15,266.73,266.73,266.73,266.73,0
2016-01-19,268.92,268.92,268.92,268.92,0
2016-01-20,264.92,264.92,264.92,264.92,0
2016-01-21,268.8,268.8,268.8,268.8,0
2016-01-22,275.21,275.21,275.21,275.21,0
2016-01-25,271.91,271.91,271.91,271.91,0
2016-01-26,274.74,274.74,274.74,274.74,0
2016-01-27,274.45,274.45,274.45,274.45,0
2016-01-28,273.11,273.11,273.11,273.11,0
2016-01-29,281.32,281.32,281.32,281.32,0
2016-02-01,280.14,280.14,280.14,280.14,0
2016-02-02,274.83,274.83,274.83,274.83,0
2016-02-03,272.71,272.71,272.71,272.71,0
2016-02-04,271.31,271.31,271.31,271.31,0
2016-02-05,268.27,268.27,268.27,268.27,0
2016-02-08,262.84,262.84,262.84,262.84,0
2016-02-09,260.45,260.45,260.45,260.45,0
2016-02-10,262.59,262.59,262.59,262.59,0
2016-02-11,255.25,255.25,255.25,255.25,0
2016-02-12,262.62,262.62,262.62,262.62,0
2016-02-16,268.02,268.02,268.02,268.02,0
2016-02-17,271.77,271.77,271.77,271.77,0
2016-02-18,273.21,273.21,273.21,273.21,0
2016-02-19,273.31,273.31,273.31,273.31,0
2016-02-22,276.86,276.86,276.86,276.86,0
2016-02-25,274.89,274.89,274.89,274.89,0
2016-02-26,274.92,274.92,274.92,274.92,0
2016-03-01,281.55,281.55,281.55,281.55,0
2016-03-04,282.62,282.62,282.62,282.62,0
2016-03-08,278.74,278.74,278.74,278.74,0
2016-03-09,280.14,280.14,280.14,280.14,0
2016-03-10,276.75,276.75,276.75,276.75,0
2016-03-11,280.32,280.32,280.32,280.32,0
2016-03-14,281.53,281.53,281.53,281.53,0
2016-03-15,280.19,280.19,280.19,280.19,0
2016-03-16,282.73,282.73,282.73,282.73,0
2016-03-17,282.84,282.84,282.84,282.84,0
2016-03-18,284.03,284.03,284.03,284.03,0
2016-03-21,284.37,284.37,284.37,284.37,0
2016-03-22,284.13,284.13,284.13,284.13,0
2016-03-23,283.6,283.6,283.6,283.6,0
2016-03-28,283.44,283.44,283.44,283.44,0
2016-03-29,287.51,287.51,287.51,287.51,0
2016-03-30,286.28,286.28,286.28,286.28,0
2016-03-31,283.39,283.39,283.39,283.39,0
2016-04-01,283.54,283.54,283.54,283.54,0
2016-04-04,281.44,281.44,281.44,281.44,0
2016-04-05,278.58,278.58,278.58,278.58,0
2016-04-06,280.44,280.44,280.44,280.44,0
2016-04-07,279.86,279.86,279.86,279.86,0
2016-04-08,281.55,281.55,281.55,281.55,0
2016-04-11,281.69,281.69,281.69,281.69,0
2016-04-12,284.75,284.75,284.75,284.75,0
2016-04-13,289.52,289.52,289.52,289.52,0
2016-04-14,290.66,290.66,290.66,290.66,0
2016-04-15,290.23,290.23,290.23,290.23,0
2016-04-18,291.8,291.8,291.8,291.8,0
2016-04-19,291.8,291.8,291.8,291.8,0
2016-04-20,292.36,292.36,292.36,292.36,0
2016-04-21,290.88,290.88,290.88,290.88,0
2016-04-22,292.09,292.09,292.09,292.09,0
2016-04-25,291.33,291.33,291.33,291.33,0
2016-04-26,291.76,291.76,291.76,291.76,0
2016-04-27,292.34,292.34,292.34,292.34,0
2016-04-28,293.14,293.14,293.14,293.14,0
2016-04-29,289.14,289.14,289.14,289.14,0
2016-05-02,289.74,289.74,289.74,289.74,0
2016-05-03,287.83,287.83,287.83,287.83,0
2016-05-05,287.22,287.22,287.22,287.22,0
2016-05-06,289.63,289.63,289.63,289.63,0
2016-05-09,289.9,289.9,289.9,289.9,0
2016-05-10,292.06,292.06,292.06,292.06,0
2016-05-11,290.73,290.73,290.73,290.73,0
2016-05-12,291.65,291.65,291.65,291.65,0
2016-05-16,293.68,293.68,293.68,293.68,0
2016-05-17,292.03,292.03,292.03,292.03,0
2016-05-18,292.03,292.03,292.03,292.03,0
2016-05-19,292.29,292.29,292.29,292.29,0
2016-05-20,294.26,294.26,294.26,294.26,0
2016-05-23,294.16,294.16,294.16,294.16,0
2016-05-24,299.46,299.46,299.46,299.46,0
2016-05-25,300.57,300.57,300.57,300.57,0
2016-05-26,300.79,300.79,300.79,300.79,0
2016-05-27,302.87,302.87,302.87,302.87,0
2016-05-31,301.55,301.55,301.55,301.55,0
2016-06-01,300.43,300.43,300.43,300.43,0
2016-06-02,301.35,301.35,301.35,301.35,0
2016-06-03,298.3,298.3,298.3,298.3,0
2016-06-06,299.37,299.37,299.37,299.37,0
